code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
000030.XSHE,2017/4/28,16.79,21.8445,2.21,2.08,-152.27,3.0929,3.0647,1.6963,8.8143,21.76,95.5908,8.375,8.8143,5.0459,9.2836,-0.0964,47.0796,42.3456,99.0904,92.9339,16.664,377.9369,44.4325,23.5995,44.4325,23.5995,11.2334,7.6058,5.4389,0.2254,12.2612,5.094,-1,-1,-1
000030.XSHE,2017/4/28,16.51,21.6389,2.17,2.04,-149.78,4.1818,4.1049,2.4208,13.0231,17.8837,95.1397,13.3919,13.0231,3.7259,8.6976,-0.2709,35.1802,61.7541,98.1611,76.3551,5.2751,108.5337,33.1373,0.5451,33.1373,0.5451,48.1651,60.7744,42.4897,48.5546,41.0635,40.2818,-1,-1,-1
000031.XSHE,2017/3/18,57.25,22.4137,2.96,0.96,7.34,11.2908,7.9756,1.2075,9.9642,45.3943,82.5718,17.68,9.9642,3.1441,2.768,1.9558,98.6475,1.4252,70.638,76.9812,41.9447,240.6713,11.5593,82.7077,11.5593,82.7077,249.3864,939.6525,135.7214,1476.7729,374.0844,864.0428,-1,-1,-1
000031.XSHE,2017/4/28,20.25,20.249,2.47,0.81,3.72,2.4455,1.8377,0.3636,13.1787,52.7705,75.6613,24.4695,13.1787,4.3634,3.6508,4.0493,98.3559,0.5288,75.1442,174.8805,-259.9804,-1068.179,-47.3581,-77.5094,-47.3581,-77.5094,-33.647,-68.8725,-48.5325,-70.254,-21.7113,-77.8151,-1,-1,-1
000032.XSHE,2017/3/24,119.93,115.558,4.42,3.16,-106.91,0.2538,0.0659,-0.1967,-0.7859,17.1942,99.9105,0.0895,-0.7859,2.7229,12.4818,-1.1975,6.9525,,25.9826,113.767,25.82,28836.084,-3.1256,-4.9747,-3.1256,-4.9747,101.2297,-97.3268,5.4404,-126.8773,183.1899,-80.6077,-1,-1,-1
000032.XSHE,2017/4/26,109.26,109.262,4.62,3.34,-49.9,0.7066,0.6901,0.3733,2.4343,19.4919,97.4775,2.7379,2.4343,4.9799,9.7743,0.3426,79.7433,6.8075,97.6544,115.9441,3.7121,147.1578,-40.9461,-39.3277,-40.9461,-39.3277,-54.0139,1755.1625,-52.0185,287.9356,-40.7668,180.0747,-1,-1,-1
000033.XSHE,2017/4/29,49.49,63.984,302.35,30.88,227.05,2.5257,-6.3466,0.1381,1.2205,37.8951,95.532,4.468,1.2205,2.6805,28.211,0.7551,66.5827,,-251.2864,113.9573,36.3916,814.4954,-44.661,45.2534,-44.661,45.2534,-94.7401,-47.3079,-99.4718,-85.6246,-99.4474,-84.9602,-1,-1,-1
000033.XSHE,2017/4/29,49.49,63.984,302.35,30.88,227.05,4.5901,4.1547,0.2812,4.97,38.8119,95.5897,4.4103,4.97,5.5297,28.0851,0.2311,88.7391,,90.513,103.0727,-46.8236,-1061.6879,-38.8286,-51.4205,-38.8286,-51.4205,-68.2638,-52.0478,-47.7997,97.8248,-38.0389,124.4425,-1,-1,-1
000034.XSHE,2017/3/30,44.14,683.3631,5.63,0.61,11.16,2.6784,2.5399,0.4203,0.4153,4.2497,99.5786,0.5874,0.4153,2.6515,0.5993,0.9993,67.8381,26.741,94.831,112.3553,-3.719,-882.6354,13132.6582,37.9518,13132.6582,37.9518,3075.166,-3.8279,1446.9167,-14.9061,1458.0741,-14.6581,-1,-1,-1
000034.XSHE,2017/4/28,39.6,39.6043,6.04,0.39,16.68,3.1666,2.9388,0.5256,0.716,5.5802,99.2028,0.8117,0.716,2.7567,0.5739,0.5927,89.3105,1.6174,92.8076,121.5831,-1.0906,-136.8008,13430.1045,-26.8355,13430.1045,-26.8355,1963.339,1.0931,1578.7653,26.1299,1540.4758,21.8547,-1,-1,-1
000034.XSHE,2017/8/18,32.3087,39.6043,5.843,0.3037,-85.8585,4.2481,3.578,0.6947,0.8654,5.0148,98.5381,1.1421,0.8654,2.7869,0.6291,0.3995,133.3023,-46.6348,84.2246,113.402,4.8157,329.4232,19.4074,13.4978,19.4074,13.4978,-40.4394,59.7041,-53.4172,37.1781,-54.0034,39.0523,-1,-1,-1
000035.XSHE,2017/4/17,37.96,39.9473,4.63,9.89,-154.03,3.7835,3.5381,1.3478,18.4469,37.0546,81.0272,19.8665,18.4469,0.0948,6.1163,9.8508,83.8464,3.9498,93.5134,48.1157,33.2457,175.2288,13.6879,94.9834,13.6879,94.9834,-27.9421,78.9205,-28.6073,21.2233,-28.6073,21.2233,-1,-1,-1
000035.XSHE,2017/4/28,39.44,41.9013,4.82,10.28,-160.04,1.0989,1.0263,0.3758,9.5438,41.9017,94.7106,5.2901,9.5438,0.3116,16.9824,15.4757,37.5157,0.0045,93.3936,42.5928,-0.014,-0.2651,46.6084,-42.4808,46.6084,-42.4808,-58.5305,-84.6837,-36.9679,-70.2415,-36.9679,-70.2415,-1,-1,-1
000036.XSHE,2017/4/28,17.23,138.5272,3.77,23.42,3.49,29.6616,25.0377,8.9959,43.1942,73.5636,54.8837,56.9026,43.1942,1.1686,1.8153,0.0678,79.2736,20.7096,84.4111,20.2794,-12.0304,-26.6654,688.025,4284.2173,688.025,4284.2173,869.3081,1860.0032,812.8816,1833.6154,1122.9928,1890.764,-1,1,1
000036.XSHE,2017/4/29,16.65,131.4443,3.64,22.63,3.37,20.1794,20.1816,8.1017,42.4834,71.4131,55.8045,44.8353,42.4834,0.5902,1.1788,0.1278,98.5837,1.4273,100.011,16.9257,-1.4894,-3.37,3656.1099,-11.9699,3656.1099,-11.9699,539.8463,-30.6383,716.8584,-13.4184,715.0777,-13.0851,-1,1,1
